"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Doran","T1","Top",36,"72%","39%",109,115,201,2.7,"51.5%","18.1%","22.7%","3%",-95,-82,0.3,8.5,"23.6%",670,"22.6%","21.8%",7022,263,"19.6%",0,0.42,0.16,0.19
"DuDu","DN SOOPers","Top",32,"6%","50%",40,98,82,1.2,"46.2%","15.2%","17.5%","9%",66,47,2.2,9,"26.1%",553,"23.6%","21.4%",5548,239,"22.0%",0,0.36,0.15,0.18
"Duro","Gen.G","Support",36,"72%","42%",36,77,433,6.1,"76.5%","5.9%","18.6%","44%",89,25,-4.1,0.9,"2.2%",270,"9.0%","7.0%",582,144,"10.5%",0,1.98,0.42,0.51
"Effort","KT Rolster","Support",37,"65%","43%",41,101,429,4.7,"79.3%","6.9%","20.8%","32%",-27,-102,-0.4,1,"2.3%",243,"8.7%","6.5%",1087,147,"11.3%",0,2.1,0.5,0.5
"Enosh","DN SOOPers","ADC",4,"0%","75%",5,14,7,0.9,"66.7%","27.8%","20.3%","25%",-796,-375,-16.3,9.1,"29.9%",611,"26.5%","30.6%",300,250,"25.0%",0,0.37,0.01,0.34
"Faker","T1","Middle",36,"72%","47%",129,109,224,3.2,"58.6%","21.4%","21.5%","22%",35,32,0.7,8.9,"24.2%",685,"23.0%","22.7%",8749,288,"21.3%",0,0.46,0.15,0.25
"FenRir","KT Rolster","ADC",3,"67%","67%",13,11,21,3.1,"72.3%","27.7%","26.8%","0%",-494,-460,-12.3,9.3,"32.2%",866,"27.0%","27.9%",9472,365,"27.2%",0,0.43,0.19,0.39
"GIDEON","HANJIN BRION","Jungle",36,"44%","53%",133,90,249,4.2,"72.8%","25.3%","18.9%","42%",138,112,2,7.3,"19.6%",413,"15.0%","16.3%",2300,270,"20.7%",2,0.36,0.27,0.39
"Gumayusi","Hanwha Life Esports","ADC",38,"76%","63%",180,112,308,4.4,"68.3%","25.2%","21.4%","29%",122,32,4,10,"30.3%",829,"26.8%","28.1%",10784,383,"26.9%",0,0.52,0.21,0.37
"Jiwoo","Kiwoom DRX","ADC",2,"0%","50%",4,8,1,0.6,"35.7%","28.6%","22.2%","0%",12,204,11.5,9.7,"26.4%",540,"20.6%","19.0%",6540,311,"26.4%",0,0.41,0.16,0.25
"Kanavi","Hanwha Life Esports","Jungle",38,"76%","37%",146,141,346,3.5,"68.9%","20.4%","27.0%","37%",135,170,3.3,7.2,"20.2%",572,"18.5%","19.5%",3243,288,"20.3%",4,0.34,0.3,0.41
"Kellin","BNK FEARX","Support",34,"35%","38%",17,98,329,3.5,"76.7%","3.8%","17.9%","26%",-64,25,-0.8,0.9,"2.0%",234,"9.0%","6.6%",618,127,"10.2%",0,1.96,0.44,0.39
"Keria","T1","Support",36,"72%","50%",45,95,399,4.7,"73.8%","7.5%","18.7%","39%",132,155,-0.1,1.1,"2.4%",292,"9.8%","7.7%",1455,148,"10.8%",0,2.14,0.5,0.39
"Kiin","Gen.G","Top",36,"72%","64%",95,89,247,3.8,"55.8%","15.5%","21.5%","14%",63,123,3.1,8.5,"21.9%",640,"21.1%","19.1%",8193,270,"19.6%",0,0.46,0.15,0.18
"Kingen","Nongshim RedForce","Top",36,"31%","47%",87,126,173,2.1,"50.4%","16.9%","18.7%","3%",-176,-84,-3.5,8.4,"23.7%",674,"22.9%","22.0%",6108,250,"20.2%",1,0.36,0.18,0.17
"LazyFeel","Kiwoom DRX","ADC",36,"39%","42%",124,128,203,2.6,"64.2%","24.4%","21.2%","11%",-125,28,-3.6,9.8,"30.7%",754,"27.3%","28.0%",5607,333,"26.7%",0,0.37,0.06,0.3
"Lehends","Nongshim RedForce","Support",29,"38%","66%",14,124,308,2.6,"73.5%","3.2%","22.8%","48%",22,83,0.3,1.1,"2.5%",261,"8.7%","6.8%",875,134,"10.5%",0,1.72,0.41,0.46
"Life","DN SOOPers","Support",11,"0%","64%",9,59,43,0.9,"68.4%","11.8%","29.2%","36%",-238,-382,-1.3,0.9,"1.8%",216,"10.2%","7.6%",84,115,"10.9%",0,1.65,0.31,0.37
